Code Résidence ACM,Nom Résidence,Rue,Code postal,Ville,AdresseComplète,Longitude,Latitude,Zone_Sensible,Secteur,Date de Construction,Prochaine Rénovation,Date d'Acquisition,Nbre,<18,18-24,25-49,50-64,65-74,>=75
1,ZUCCARELLI,100 RUE DU FAUBOURG FIGUEROLLES,34070,MONTPELLIER,0001 ZUCCARELLI 100RUEDUFAUBOURGFIGUEROLLES 34070 MONTPELLIER,3.860940845,43.60577483,QPV,Secteur Gely,19450101,19850101,19450101,1,14,5,18,,7,11
2,ASTRUC,RUE DES CORONILLES,34070,MONTPELLIER,0002 ASTRUCRUEDESCORONILLES 34070 MONTPELLIER,3.853708514,43.61172431,Hors QPV,Secteur Astruc,19500101,19900101,19500101,1,105,41,96,93,36,26
5,AIGUERELLE,rue A ARNAVIELLE,34070,MONTPELLIER,0005 AIGUERELLERUEAARNAVIELLE 34070 MONTPELLIER,3.88562,43.601749,Hors QPV,Secteur Rives du Lez,19570601,19970601,19570601,1,39,2,34,16,13,6
6,AUBES-1,rue DES PASSEREAUX,34000,MONTPELLIER,0006 AUBES1RUEDESPASSEREAUX 34000 MONTPELLIER,3.892586,43.618469,Hors QPV,Secteur Pompignane,19610101,20010101,19610101,1,34,11,27,13,9,5
7,GELY,place JEAN DORAT,34070,MONTPELLIER,0007 GELYPLACEJEANDORAT 34070 MONTPELLIER,3.858168247,43.60577724,QPV,Secteur Gely,19620101,20020101,19620101,1,120,50,156,92,44,27
8,LEMASSON,bld PEDRO DE LUNA,34070,MONTPELLIER,0008 LEMASSONBLDPEDRODELUNA 34070 MONTPELLIER,3.871694,43.592873,QPV,Secteur Lemasson,19640101,20040101,19640101,1,280,153,272,212,86,89
9,LAKANAL,Rue lakanal,34000,MONTPELLIER,0009 LAKANALRUELAKANAL 34000 MONTPELLIER,3.873753,43.619492,Hors QPV,Secteur Beaux Arts,19640101,20040101,19640101,1,1,2,3,3,4,2
10,AUBES-2,rue DES PASSEREAUX,34000,MONTPELLIER,0010 AUBES2RUEDESPASSEREAUX 34000 MONTPELLIER,3.891963,43.617943,Hors QPV,Secteur Pompignane,19650101,20050101,19650101,1,29,10,30,32,21,11
11,JEAN VILAR,RUE DES MARRONNIERS,34000,MONTPELLIER,0011 JEANVILARRUEDESMARRONNIERS 34000 MONTPELLIER,3.883356,43.597286,Hors QPV,Secteur Rives du Lez,20100601,20500601,20100601,1,0,3,5,7,7,4
12,P.DU LOUP,Rue des manguiers,34070,MONTPELLIER,0012 PDULOUPRUEDESMANGUIERS 34070 MONTPELLIER,3.848128,43.600807,QPV,Secteur Pas du Loup,19641201,20041201,19641201,1,40,23,51,40,22,23
13,JUPITER,AV DE BARCELONE,34080,MONTPELLIER,0013 JUPITERAVDEBARCELONE 34080 MONTPELLIER,3.819308,43.625256,QPV,Secteur Jupiter,19670101,20070101,19670101,1,214,67,162,96,73,34
14,JUSTICE,RUE DU MAJOR FLANDRE,34090,MONTPELLIER,0014 JUSTICE RUEDUMAJORFLANDRE 34090 MONTPELLIER,3.874352,43.627403,Hors QPV,Secteur Vert Bois,19670101,20070101,19670101,1,62,33,100,80,41,49
15,URANUS,rue DE LA HAYE,34080,MONTPELLIER,0015 URANUSRUEDELAHAYE 34080 MONTPELLIER,3.820571,43.628941,QPV,Secteur Uranus,19680501,20080501,19680501,1,140,54,131,78,61,52
16,SATURNE,RUE DE BARI,34080,MONTPELLIER,0016 SATURNERUEDEBARI 34080 MONTPELLIER,3.820894,43.627674,QPV,Secteur Uranus,19691115,20091115,19691115,1,120,45,93,73,33,34
17,PLUTON,RUE DE L'AGATHOIS,34080,MONTPELLIER,0017 PLUTONRUEDELAGATHOIS 34080 MONTPELLIER,3.824811,43.630863,QPV,Secteur Gémeaux,19690101,20090101,19690101,1,21,5,13,11,5,2
18,VENUS,av DE HEIDELBERG,34080,MONTPELLIER,0018 VENUSAVDEHEIDELBERG 34080 MONTPELLIER,3.812953,43.623356,QPV,Secteur Cap dou Mail,19700101,20100101,19700101,1,12,4,10,10,8,18
19,MERCURE,AV DE BARCELONE,34080,MONTPELLIER,0019 MERCUREAVDEBARCELONE 34080 MONTPELLIER,3.8182,43.622253,QPV,Secteur Jupiter,19700201,20100201,19700201,1,139,64,139,86,58,50
20,NEPTUNE,RUE D'UPPSALA,34080,MONTPELLIER,0020 NEPTUNERUEDUPPSALA 34080 MONTPELLIER,3.821088,43.630054,QPV,Secteur Gémeaux,19700601,20100601,19700601,1,82,28,74,45,38,32
22,P.VALERY 1,rue MARRAT,34070,MONTPELLIER,0022 PVALERY1RUEMARRAT 34070 MONTPELLIER,3.84477,43.600151,QPV,Secteur Paul Valery,19710401,20110401,19710401,1,8,3,8,8,5,3
23,P.VALERY 2,Rue Robespierre,34070,MONTPELLIER,0023 PVALERY2RUEROBESPIERRE 34070 MONTPELLIER,3.844934,43.599083,QPV,Secteur Paul Valery,19710601,20110601,19710601,1,317,125,264,178,94,58
26,F.FABREGES,bld F.FABREGES,34250,PALAVAS LES FLOTS,0026 FFABREGESBLDFFABREGES 34250 PALAVASLESFLOTS,3.925865,43.527828,Hors QPV,Secteur Agglomération,19730901,20130901,19730901,1,4,2,3,11,8,7
28,LE SALAISON,square JEAN JAURES,34920,LE CRES,0028 LESALAISONSQUAREJEANJAURES 34920 LECRES,3.942664,43.656845,Hors QPV,Secteur Agglomération,19750601,20150601,19750601,1,31,16,32,30,15,15
29,JUNON,rue DE LIEGE,34080,MONTPELLIER,0029 JUNONRUEDELIEGE 34080 MONTPELLIER,3.812927,43.623871,QPV,Secteur Cap dou Mail,19751201,20151201,19751201,1,29,13,19,21,13,9
30,POMPIGNANE,rue MARIE DURAND,34000,MONTPELLIER,0030 POMPIGNANERUEMARIEDURAND 34000 MONTPELLIER,3.90249,43.620304,QPV,Secteur Pompignane,19760201,20160201,19760201,1,255,93,240,204,100,65
31,CERES,RUE PIERRE CARDENAL,34080,MONTPELLIER,0031 CERES RUEPIERRECARDENAL 34080 MONTPELLIER,3.819726,43.638947,QPV,Secteur Gênes,19760101,20160101,19760101,1,75,24,57,41,32,31
35,ESCHOLIERS,chem DES TOURTERELLES,34090,MONTPELLIER,0035 ESCHOLIERSCHEMDESTOURTERELLES 34090 MONTPELLIER,3.880407,43.627029,QPV,Secteur Aiguelongue,19641001,20041001,19641001,1,5,1,24,39,17,17
36,A. CABANEL,rue ALEXANDRE CABANEL,34000,MONTPELLIER,0036 ACABANELRUEALEXANDRECABANEL 34000 MONTPELLIER,3.875733326,43.60733415,Hors QPV,Secteur Beaux Arts,19000101,19400101,19831101,1,2,1,5,1,2,1
37,CAZOT,av DE L'ABBE BROCARDI,34250,PALAVAS LES FLOTS,0037 CAZOTAVDELABBEBROCARDI 34250 PALAVASLESFLOTS,3.928531,43.53064,Hors QPV,Secteur Agglomération,19770815,20170815,19770815,1,2,1,2,7,5,5
39,AIGOUAL DOURBIES,grand mail,34080,MONTPELLIER,0039 AIGOUALDOURBIESGRANDMAIL 34080 MONTPELLIER,3.816068,43.623234,QPV,Secteur Cap dou Mail,19780415,20180415,19780415,1,76,34,62,40,24,19
40,M.VILLARET,rue MAS DE VILLARET,34070,MONTPELLIER,0040 VILLARETRUEMASDEVILLARET 34070 MONTPELLIER,3.864323,43.59174,Hors QPV,Secteur Croix d'argent,19790201,20190201,19790201,1,14,11,21,20,10,4
41,F.DEZEUZE,rue FRANCOIS DEZEUZE,34070,MONTPELLIER,0041 FDEZEUZERUEFRANCOISDEZEUZE 34070 MONTPELLIER,3.840459,43.608067,Hors QPV,Secteur Pas du Loup,19790201,20190201,19790201,1,49,24,47,36,28,18
42,SAYSSET 2,rue R. DE MIREPOIX,34070,MONTPELLIER,0042 SAYSSET2RUERDEMIREPOIX 34070 MONTPELLIER,3.894503,43.589817,Hors QPV,Secteur Près d'arènes,19790415,20190415,19790415,1,0,1,4,9,4,4
43,BROUSSOUS,av XAVIER DE RICARD,34000,MONTPELLIER,0043 BROUSSOUSAVXAVIERDERICARD 34000 MONTPELLIER,3.891648,43.621792,Hors QPV,Secteur Pompignane,19790515,20190515,19790515,1,4,1,15,9,9,3
